Barack Obama,Charlie Crist,0.90581
Barack Obama,Donald Trump,0.77638
Barack Obama,Hillary Clinton,0.81150
Barack Obama,Marco Rubio,0.64074
Barack Obama,Michele Bachmann,0.70434
Barack Obama,Mitt Romney,0.82531
Barack Obama,Paul Ryan,0.79489
Barack Obama,Rick Perry,0.70707
Barack Obama,Rick Scott,0.72461
Barack Obama,Ron Johnson,0.83769
Barack Obama,Scott Walker,0.88470
Barack Obama,Tammy Baldwin,0.75140
Barack Obama,Ted Cruz,0.70796
Charlie Crist,Donald Trump,0.81610
Charlie Crist,Hillary Clinton,0.77053
Charlie Crist,Marco Rubio,0.65985
Charlie Crist,Michele Bachmann,0.74698
Charlie Crist,Mitt Romney,0.82367
Charlie Crist,Paul Ryan,0.83861
Charlie Crist,Rick Perry,0.74251
Charlie Crist,Rick Scott,0.74728
Charlie Crist,Ron Johnson,0.80617
Charlie Crist,Scott Walker,0.86006
Charlie Crist,Tammy Baldwin,0.76317
Charlie Crist,Ted Cruz,0.74572
Donald Trump,Hillary Clinton,0.70192
Donald Trump,Marco Rubio,0.69534
Donald Trump,Michele Bachmann,0.75088
Donald Trump,Mitt Romney,0.77180
Donald Trump,Paul Ryan,0.76659
Donald Trump,Rick Perry,0.79922
Donald Trump,Rick Scott,0.84898
Donald Trump,Ron Johnson,0.76199
Donald Trump,Scott Walker,0.78250
Donald Trump,Tammy Baldwin,0.79997
Donald Trump,Ted Cruz,0.77728
Hillary Clinton,Marco Rubio,0.65614
Hillary Clinton,Michele Bachmann,0.74009
Hillary Clinton,Mitt Romney,0.74420
Hillary Clinton,Paul Ryan,0.90018
Hillary Clinton,Rick Perry,0.70039
Hillary Clinton,Rick Scott,0.69274
Hillary Clinton,Ron Johnson,0.81764
Hillary Clinton,Scott Walker,0.82955
Hillary Clinton,Tammy Baldwin,0.74878
Hillary Clinton,Ted Cruz,0.68545
Marco Rubio,Michele Bachmann,0.65607
Marco Rubio,Mitt Romney,0.62888
Marco Rubio,Paul Ryan,0.73134
Marco Rubio,Rick Perry,0.76922
Marco Rubio,Rick Scott,0.67046
Marco Rubio,Ron Johnson,0.68344
Marco Rubio,Scott Walker,0.69262
Marco Rubio,Tammy Baldwin,0.78767
Marco Rubio,Ted Cruz,0.61678
Michele Bachmann,Mitt Romney,0.79629
Michele Bachmann,Paul Ryan,0.76092
Michele Bachmann,Rick Perry,0.81169
Michele Bachmann,Rick Scott,0.83237
Michele Bachmann,Ron Johnson,0.85395
Michele Bachmann,Scott Walker,0.80438
Michele Bachmann,Tammy Baldwin,0.79447
Michele Bachmann,Ted Cruz,0.88022
Mitt Romney,Paul Ryan,0.78393
Mitt Romney,Rick Perry,0.73815
Mitt Romney,Rick Scott,0.76660
Mitt Romney,Ron Johnson,0.84664
Mitt Romney,Scott Walker,0.83858
Mitt Romney,Tammy Baldwin,0.74617
Mitt Romney,Ted Cruz,0.78596
Paul Ryan,Rick Perry,0.79242
Paul Ryan,Rick Scott,0.71833
Paul Ryan,Ron Johnson,0.87406
Paul Ryan,Scott Walker,0.91492
Paul Ryan,Tammy Baldwin,0.84316
Paul Ryan,Ted Cruz,0.69881
Rick Perry,Rick Scott,0.80349
Rick Perry,Ron Johnson,0.77510
Rick Perry,Scott Walker,0.77212
Rick Perry,Tammy Baldwin,0.89513
Rick Perry,Ted Cruz,0.75006
Rick Scott,Ron Johnson,0.76574
Rick Scott,Scott Walker,0.74655
Rick Scott,Tammy Baldwin,0.77612
Rick Scott,Ted Cruz,0.84471
Ron Johnson,Scott Walker,0.91578
Ron Johnson,Tammy Baldwin,0.81445
Ron Johnson,Ted Cruz,0.75744
Scott Walker,Tammy Baldwin,0.81606
Scott Walker,Ted Cruz,0.73546
Tammy Baldwin,Ted Cruz,0.72460
